,Name,_runtime,_step,_timestamp,epoch,train_accuracy,train_loss,trainer/global_step,val_accuracy,val_loss,_wandb,test_accuracy,test_loss,cpu,beta1,beta2,group,aa_seed,augment,dataset,dropout,patience,num_train,batch_norm,batch_size,max_epochs,save_model,log_results,weight_decay,hidden_layers,learning_rate,hidden_group_channels,sanity_check_equivariance
71,flowing-sweep-926,312.309045791626,5084,1727668932.7010348,13.0,0.5703125,1.1800185441970823,5070,0.5582732558250427,1.2475078105926514,{'runtime': 311},0.553600013256073,1.257840871810913,False,0.9,0.999,transpose,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
72,charmed-sweep-925,841.7157452106476,14469,1727669610.1262853,37.0,0.7734375,0.6111263036727905,14430,0.8325520753860474,0.4791805148124695,{'runtime': 840},0.7559999823570251,0.7440413236618042,False,0.9,0.999,flipH_and_or_flipW,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
73,lemon-sweep-924,720.2144918441772,10950,1727669089.5334058,28.0,0.6796875,0.8535473346710205,10920,0.7625200152397156,0.670388400554657,{'runtime': 718},0.7160999774932861,0.8337604403495789,False,0.9,0.999,flipH_and_or_flipW,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
74,summer-sweep-923,392.3935182094574,5866,1727668604.312554,15.0,0.7109375,0.8912328481674194,5850,0.6630609035491943,0.953606367111206,{'runtime': 390},0.6470000147819519,1.0163888931274414,False,0.9,0.999,flipH_and_or_flipW,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
75,golden-sweep-922,318.41286277770996,5867,1727668752.9764967,15.0,0.59375,1.0957697629928589,5850,0.6193309426307678,1.0788979530334473,{'runtime': 317},0.5885999798774719,1.1495394706726074,False,0.9,0.999,flipH_and_or_flipW,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
76,sleek-sweep-921,670.8885412216187,10559,1727668356.1992712,27.0,0.5,1.2151483297348022,10530,0.5239783525466919,1.425133466720581,{'runtime': 669},0.5149999856948853,1.4569430351257324,False,0.9,0.999,flipH_and_or_flipW,47,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
77,clear-sweep-920,638.5565412044525,9776,1727668194.1746893,25.0,0.7578125,0.7162603735923767,9750,0.8245993852615356,0.5090082883834839,{'runtime': 636},0.7473000288009644,0.7732766270637512,False,0.9,0.999,rot180,46,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,64,False
78,charmed-sweep-919,486.6818051338196,8995,1727668418.601083,23.0,0.78125,0.7220409512519836,8970,0.7688301205635071,0.6583712697029114,{'runtime': 485},0.7139999866485596,0.8321866989135742,False,0.9,0.999,rot180,46,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,48,False
79,leafy-sweep-918,348.53562211990356,6649,1727667914.8369691,17.0,0.71875,0.8211708068847656,6630,0.6938701868057251,0.8707160353660583,{'runtime': 347},0.6643000245094299,0.9639346599578856,False,0.9,0.999,rot180,46,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,32,False
80,decent-sweep-917,454.1222879886627,7431,1727667669.957203,19.0,0.6484375,0.9304577112197876,7410,0.6269230842590332,1.0787819623947144,{'runtime': 452},0.6037999987602234,1.143505573272705,False,0.9,0.999,rot180,46,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,24,False
81,morning-sweep-916,436.4698462486267,7039,1727667541.9701312,18.0,0.625,1.1626429557800293,7020,0.5679086446762085,1.2029939889907837,{'runtime': 435},0.5507000088691711,1.2606971263885498,False,0.9,0.999,rot180,46,rot90flip,cifar10,0,3,50000,True,128,-1,True,True,0,6,0.001,16,False
